Method,Parameter,Outcome,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm
Delta_4000,CO2 Cap,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Buildings demand,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Steel Production,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Chemical Production,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Passenger Cars,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker aviation,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker navigation,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Agriculture neGHG CH4,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Agriculture neGHG N2O,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Solar PV Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Solar PV Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Nuclear Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Nuclear Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Ammonia Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Ammonia Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,CCS potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Flexibility Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,LNG Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Weather Conditions,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Ratio,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Price,Electricity capacity_Carrier_share 2050 Wind onshore,0.14889334714280297,0.14889334714280297,0.004228354764305174,0.0,0.0,0.10185535351839664
Delta_4000,Weather Conditions,Electricity capacity_Carrier_share 2050 Wind onshore,0.28221594306223186,0.28221594306223186,0.015531746237351828,0.0,0.0,1.0
Delta_4000,Electricity Trade Ratio,Electricity capacity_Carrier_share 2050 Wind onshore,0.1530344994895001,0.1530344994895001,0.006097316043378291,0.0,0.0,0.12975275369127112
Delta_4000,Electricity Trade Volume,Electricity capacity_Carrier_share 2050 Wind onshore,0.14503340262860184,0.14503340262860184,0.003891332569396673,0.0,0.0,0.07585234572187226
Delta_4000,WACC,Electricity capacity_Carrier_share 2050 Wind onshore,0.1485531980494385,0.1485531980494385,0.005101004485997027,0.0,0.0,0.09956389583184294
Delta_4000,Bunker Emission Reduction,Electricity capacity_Carrier_share 2050 Wind onshore,0.1427030526431455,0.1427030526431455,0.004244226174434751,0.0,0.0,0.06015364626712302
Delta_4000,End-of-Life Emission Reduction,Electricity capacity_Carrier_share 2050 Wind onshore,0.14305389486036912,0.14305389486036912,0.0040214967143405896,0.0,0.0,0.06251713954435832
Delta_4000,CO2 Cap,BioFuel Production 2050,0.06532099109328918,0.06532099109328918,0.008243125326178994,0.0,0.0,0.11846820265105884
Delta_4000,Buildings demand,BioFuel Production 2050,0.05151180390863939,0.05151180390863939,0.008177845899218434,0.0,0.0,0.024755325860794698
Delta_4000,Steel Production,BioFuel Production 2050,0.05687879896754877,0.05687879896754877,0.008279676543634767,0.0,0.0,0.06117720500286434
Delta_4000,Chemical Production,BioFuel Production 2050,0.08566033561984712,0.08566033561984712,0.010001006326001557,0.0,0.0,0.2564964922328542
Delta_4000,Passenger Cars,BioFuel Production 2050,0.06930943443039306,0.06930943443039306,0.008021069883303221,0.0,0.0,0.1455348571932208
Delta_4000,Bunker aviation,BioFuel Production 2050,0.08911835263593622,0.08911835263593622,0.00917036494954605,0.0,0.0,0.2799635303889897
Delta_4000,Bunker navigation,BioFuel Production 2050,0.07278988790890895,0.07278988790890895,0.010262079541564401,0.0,0.0,0.16915415524784974
Delta_4000,Agriculture neGHG CH4,BioFuel Production 2050,0.06299846361668505,0.06299846361668505,0.008117991804788862,0.0,0.0,0.10270690342709406
Delta_4000,Agriculture neGHG N2O,BioFuel Production 2050,0.05118965365869589,0.05118965365869589,0.006820795301914813,0.0,0.0,0.022569127189053444
Delta_4000,Wind offshore Costs,BioFuel Production 2050,0.0644777773099132,0.0644777773099132,0.007958777771707387,0.0,0.0,0.11274592600054005
Delta_4000,Wind offshore Potential,BioFuel Production 2050,0.058088495581899796,0.058088495581899796,0.0072485331061819085,0.0,0.0,0.06938653320288267
Delta_4000,Solar PV Costs,BioFuel Production 2050,0.05290258099633442,0.05290258099633442,0.007009221085497274,0.0,0.0,0.03419351509808488
Delta_4000,Solar PV Potential,BioFuel Production 2050,0.07144450925348793,0.07144450925348793,0.008566311478087871,0.0,0.0,0.1600240520429435
Delta_4000,Nuclear Costs,BioFuel Production 2050,0.058362133580470175,0.058362133580470175,0.008195036533805706,0.0,0.0,0.07124351462418352
Delta_4000,Nuclear Potential,BioFuel Production 2050,0.06111829707087312,0.06111829707087312,0.008863252612240257,0.0,0.0,0.08994758504746427
Delta_4000,Hydrogen Import Potential,BioFuel Production 2050,0.057004831351424416,0.057004831351424416,0.00832735992287238,0.0,0.0,0.062032494825776614
Delta_4000,Hydrogen Import Price,BioFuel Production 2050,0.07513227238632281,0.07513227238632281,0.009003059939441855,0.0,0.0,0.18505020944655887
Delta_4000,Biomass Import Potential,BioFuel Production 2050,0.19522029645830144,0.19522029645830144,0.010389935687618295,0.0,0.0,1.0
Delta_4000,Biomass Import Price,BioFuel Production 2050,0.1860767452311299,0.1860767452311299,0.010764407904240648,0.0,0.0,0.9379493899155857
Delta_4000,Ammonia Import Potential,BioFuel Production 2050,0.08938766890548062,0.08938766890548062,0.010562131445290675,0.0,0.0,0.28179118338897824
Delta_4000,Ammonia Import Price,BioFuel Production 2050,0.09898175227352526,0.09898175227352526,0.012231404971131381,0.0,0.0,0.34689922635797443
Delta_4000,CCS potential,BioFuel Production 2050,0.14311976635081844,0.14311976635081844,0.011826237689194587,0.0,0.0,0.6464317201741353
Delta_4000,Flexibility Costs,BioFuel Production 2050,0.07783146552387911,0.07783146552387911,0.007321049622893134,0.0,0.0,0.2033676636566167
Delta_4000,LNG Import Price,BioFuel Production 2050,0.04786394952258952,0.04786394952258952,0.006557721799520465,0.0,0.0,0.0
