Method,Parameter,Outcome,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm
Delta_4000,CO2 Cap,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Buildings demand,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Steel Production,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Chemical Production,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Passenger Cars,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker aviation,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker navigation,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Agriculture neGHG CH4,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Agriculture neGHG N2O,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Solar PV Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Solar PV Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Nuclear Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Nuclear Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Ammonia Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Ammonia Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,CCS potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Flexibility Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,LNG Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Weather Conditions,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Ratio,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Potential,techUseNet 2050 neE01_12,,,,,,
Delta_4000,Hydrogen Import Price,techUseNet 2050 neE01_12,,,,,,
Delta_4000,Biomass Import Potential,techUseNet 2050 neE01_12,,,,,,
Delta_4000,Biomass Import Price,techUseNet 2050 neE01_12,,,,,,
Delta_4000,Ammonia Import Potential,techUseNet 2050 neE01_12,,,,,,
Delta_4000,Ammonia Import Price,techUseNet 2050 neE01_12,,,,,,
Delta_4000,CCS potential,techUseNet 2050 neE01_12,,,,,,
Delta_4000,Flexibility Costs,techUseNet 2050 neE01_12,,,,,,
Delta_4000,LNG Import Price,techUseNet 2050 neE01_12,,,,,,
Delta_4000,Electricity Trade Price,techUseNet 2050 neE01_12,,,,,,
Delta_4000,Weather Conditions,techUseNet 2050 neE01_12,,,,,,
Delta_4000,Electricity Trade Ratio,techUseNet 2050 neE01_12,,,,,,
Delta_4000,Electricity Trade Volume,techUseNet 2050 neE01_12,,,,,,
Delta_4000,WACC,techUseNet 2050 neE01_12,,,,,,
Delta_4000,Bunker Emission Reduction,techUseNet 2050 neE01_12,,,,,,
Delta_4000,End-of-Life Emission Reduction,techUseNet 2050 neE01_12,,,,,,
Delta_4000,CO2 Cap,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Buildings demand,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Steel Production,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Chemical Production,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Passenger Cars,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Bunker aviation,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Bunker navigation,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Agriculture neGHG CH4,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Agriculture neGHG N2O,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Wind offshore Costs,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Wind offshore Potential,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Solar PV Costs,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Solar PV Potential,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Nuclear Costs,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Nuclear Potential,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Hydrogen Import Potential,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Hydrogen Import Price,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Biomass Import Potential,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Biomass Import Price,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Ammonia Import Potential,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Ammonia Import Price,techUseNet 2050 neE01_13,,,,,,
Delta_4000,CCS potential,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Flexibility Costs,techUseNet 2050 neE01_13,,,,,,
Delta_4000,LNG Import Price,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Electricity Trade Price,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Weather Conditions,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Electricity Trade Ratio,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Electricity Trade Volume,techUseNet 2050 neE01_13,,,,,,
Delta_4000,WACC,techUseNet 2050 neE01_13,,,,,,
Delta_4000,Bunker Emission Reduction,techUseNet 2050 neE01_13,,,,,,
Delta_4000,End-of-Life Emission Reduction,techUseNet 2050 neE01_13,,,,,,
Delta_4000,CO2 Cap,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Buildings demand,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Steel Production,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Chemical Production,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Passenger Cars,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Bunker aviation,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Bunker navigation,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Agriculture neGHG CH4,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Agriculture neGHG N2O,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Wind offshore Costs,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Wind offshore Potential,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Solar PV Costs,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Solar PV Potential,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Nuclear Costs,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Nuclear Potential,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Hydrogen Import Potential,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Hydrogen Import Price,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Biomass Import Potential,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Biomass Import Price,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Ammonia Import Potential,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Ammonia Import Price,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,CCS potential,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Flexibility Costs,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,LNG Import Price,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Electricity Trade Price,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Weather Conditions,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Electricity Trade Ratio,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Electricity Trade Volume,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,WACC,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Bunker Emission Reduction,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,End-of-Life Emission Reduction,techUseNet 2050 neE01_08,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,CO2 Cap,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Buildings demand,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Steel Production,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Chemical Production,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Passenger Cars,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Bunker aviation,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Bunker navigation,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Agriculture neGHG CH4,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Agriculture neGHG N2O,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Wind offshore Costs,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Wind offshore Potential,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Solar PV Costs,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Solar PV Potential,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Nuclear Costs,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Nuclear Potential,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Hydrogen Import Potential,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Hydrogen Import Price,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Biomass Import Potential,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Biomass Import Price,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Ammonia Import Potential,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Ammonia Import Price,techUseNet 2050 neE02_01,,,,,,
Delta_4000,CCS potential,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Flexibility Costs,techUseNet 2050 neE02_01,,,,,,
Delta_4000,LNG Import Price,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Electricity Trade Price,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Weather Conditions,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Electricity Trade Ratio,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Electricity Trade Volume,techUseNet 2050 neE02_01,,,,,,
Delta_4000,WACC,techUseNet 2050 neE02_01,,,,,,
Delta_4000,Bunker Emission Reduction,techUseNet 2050 neE02_01,,,,,,
Delta_4000,End-of-Life Emission Reduction,techUseNet 2050 neE02_01,,,,,,
Delta_4000,CO2 Cap,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Buildings demand,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Steel Production,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Chemical Production,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Passenger Cars,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Bunker aviation,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Bunker navigation,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Agriculture neGHG CH4,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Agriculture neGHG N2O,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Wind offshore Costs,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Wind offshore Potential,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Solar PV Costs,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Solar PV Potential,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Nuclear Costs,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Nuclear Potential,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Hydrogen Import Potential,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Hydrogen Import Price,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Biomass Import Potential,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Biomass Import Price,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Ammonia Import Potential,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Ammonia Import Price,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,CCS potential,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Flexibility Costs,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,LNG Import Price,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Electricity Trade Price,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Weather Conditions,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Electricity Trade Ratio,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Electricity Trade Volume,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,WACC,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,Bunker Emission Reduction,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,End-of-Life Emission Reduction,techUseNet 2050 neE01_10,0.0,0.0,0.0,0.0,0.0,1.0
Delta_4000,CO2 Cap,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Buildings demand,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Steel Production,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Chemical Production,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Passenger Cars,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Bunker aviation,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Bunker navigation,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Agriculture neGHG CH4,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Agriculture neGHG N2O,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Wind offshore Costs,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Wind offshore Potential,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Solar PV Costs,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Solar PV Potential,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Nuclear Costs,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Nuclear Potential,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Hydrogen Import Potential,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Hydrogen Import Price,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Biomass Import Potential,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Biomass Import Price,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Ammonia Import Potential,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Ammonia Import Price,techUseNet 2050 neE02_02,,,,,,
Delta_4000,CCS potential,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Flexibility Costs,techUseNet 2050 neE02_02,,,,,,
Delta_4000,LNG Import Price,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Electricity Trade Price,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Weather Conditions,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Electricity Trade Ratio,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Electricity Trade Volume,techUseNet 2050 neE02_02,,,,,,
Delta_4000,WACC,techUseNet 2050 neE02_02,,,,,,
Delta_4000,Bunker Emission Reduction,techUseNet 2050 neE02_02,,,,,,
Delta_4000,End-of-Life Emission Reduction,techUseNet 2050 neE02_02,,,,,,
Delta_4000,CO2 Cap,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Buildings demand,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Steel Production,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Chemical Production,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Passenger Cars,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Bunker aviation,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Bunker navigation,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Agriculture neGHG CH4,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Agriculture neGHG N2O,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Wind offshore Costs,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Wind offshore Potential,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Solar PV Costs,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Solar PV Potential,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Nuclear Costs,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Nuclear Potential,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Hydrogen Import Potential,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Hydrogen Import Price,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Biomass Import Potential,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Biomass Import Price,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Ammonia Import Potential,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Ammonia Import Price,techUseNet 2050 neE02_03,,,,,,
Delta_4000,CCS potential,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Flexibility Costs,techUseNet 2050 neE02_03,,,,,,
Delta_4000,LNG Import Price,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Electricity Trade Price,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Weather Conditions,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Electricity Trade Ratio,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Electricity Trade Volume,techUseNet 2050 neE02_03,,,,,,
Delta_4000,WACC,techUseNet 2050 neE02_03,,,,,,
Delta_4000,Bunker Emission Reduction,techUseNet 2050 neE02_03,,,,,,
Delta_4000,End-of-Life Emission Reduction,techUseNet 2050 neE02_03,,,,,,
Delta_4000,CO2 Cap,techUseNet 2050 TRB01_01,0.8448037989418736,0.8448037989418736,0.7948449864014394,0.0,0.0,0.1701640935901387
Delta_4000,Buildings demand,techUseNet 2050 TRB01_01,1.1831996127554882,1.1831996127554882,0.5398793839945673,0.0,0.0,0.30395173839998263
Delta_4000,Steel Production,techUseNet 2050 TRB01_01,1.3288478305387792,1.3288478305387792,0.4523227050570523,0.0,0.0,0.3615349921890215
Delta_4000,Chemical Production,techUseNet 2050 TRB01_01,1.2157009875881213,1.2157009875881213,0.4754600111871656,0.0,0.0,0.3168014316126029
Delta_4000,Passenger Cars,techUseNet 2050 TRB01_01,0.4556880321104277,0.4556880321104277,0.4469055257314529,0.0,0.0,0.016323886715035024
Delta_4000,Bunker aviation,techUseNet 2050 TRB01_01,0.4143992050488044,0.4143992050488044,0.5140657929478903,0.0,0.0,0.0
Delta_4000,Bunker navigation,techUseNet 2050 TRB01_01,0.7431457161683013,0.7431457161683013,0.5626445627312596,0.0,0.0,0.12997271144245204
Delta_4000,Agriculture neGHG CH4,techUseNet 2050 TRB01_01,1.4551443195828677,1.4551443195828677,0.4602419837141043,0.0,0.0,0.4114673764775208
Delta_4000,Agriculture neGHG N2O,techUseNet 2050 TRB01_01,1.0484897417149048,1.0484897417149048,0.46299623840726056,0.0,0.0,0.2506930524367925
Delta_4000,Wind offshore Costs,techUseNet 2050 TRB01_01,1.4258689093380195,1.4258689093380195,0.3862152532013461,0.0,0.0,0.39989309562764747
Delta_4000,Wind offshore Potential,techUseNet 2050 TRB01_01,1.5467530236983973,1.5467530236983973,0.47243816207361944,0.0,0.0,0.44768565184439374
Delta_4000,Solar PV Costs,techUseNet 2050 TRB01_01,1.0367013463661663,1.0367013463661663,0.431889847180243,0.0,0.0,0.24603241071069917
Delta_4000,Solar PV Potential,techUseNet 2050 TRB01_01,0.7234132187999706,0.7234132187999706,0.46045468539997636,0.0,0.0,0.1221713018464708
Delta_4000,Nuclear Costs,techUseNet 2050 TRB01_01,1.3056341437609769,1.3056341437609769,0.4716696050359019,0.0,0.0,0.35235726494010766
Delta_4000,Nuclear Potential,techUseNet 2050 TRB01_01,1.5551483683900753,1.5551483683900753,0.4368880249777343,0.0,0.0,0.45100482231819006
Delta_4000,Hydrogen Import Potential,techUseNet 2050 TRB01_01,2.7114251429474705,2.7114251429474705,0.4807624444479506,0.0,0.0,0.9081486169561511
Delta_4000,Hydrogen Import Price,techUseNet 2050 TRB01_01,1.8849840962140916,1.8849840962140916,0.47986990271094,0.0,0.0,0.5814081647898588
Delta_4000,Biomass Import Potential,techUseNet 2050 TRB01_01,1.0752337047479095,1.0752337047479095,0.45673351563332243,0.0,0.0,0.26126650423793674
Delta_4000,Biomass Import Price,techUseNet 2050 TRB01_01,1.2437142246980357,1.2437142246980357,0.6844424709298924,0.0,0.0,0.32787670164682214
Delta_4000,Ammonia Import Potential,techUseNet 2050 TRB01_01,1.5505292446222527,1.5505292446222527,0.4880850394612736,0.0,0.0,0.4491786126998804
Delta_4000,Ammonia Import Price,techUseNet 2050 TRB01_01,2.811797660934684,2.811797660934684,0.6094726308739089,0.0,0.0,0.9478317402011076
Delta_4000,CCS potential,techUseNet 2050 TRB01_01,2.943749462276114,2.943749462276114,0.7224152743844853,0.0,0.0,1.0
Delta_4000,Flexibility Costs,techUseNet 2050 TRB01_01,1.21115088198163,1.21115088198163,0.3910325817742377,0.0,0.0,0.31500250890765524
Delta_4000,LNG Import Price,techUseNet 2050 TRB01_01,1.3240601609638123,1.3240601609638123,0.3678629543200648,0.0,0.0,0.359642146561459
Delta_4000,Electricity Trade Price,techUseNet 2050 TRB01_01,1.4584034825566385,1.4584034825566385,0.37610911449467976,0.0,0.0,0.4127559141027304
Delta_4000,Weather Conditions,techUseNet 2050 TRB01_01,1.1636025288851146,1.1636025288851146,0.5393401129891874,0.0,0.0,0.2962038656748125
Delta_4000,Electricity Trade Ratio,techUseNet 2050 TRB01_01,1.6531998288086256,1.6531998288086256,0.592606390790795,0.0,0.0,0.48977029583787374
Delta_4000,Electricity Trade Volume,techUseNet 2050 TRB01_01,1.7150776316038707,1.7150776316038707,0.490377977883535,0.0,0.0,0.5142342081087966
Delta_4000,WACC,techUseNet 2050 TRB01_01,2.0306162450779697,2.0306162450779697,0.5373110888104138,0.0,0.0,0.6389850655958077
Delta_4000,Bunker Emission Reduction,techUseNet 2050 TRB01_01,1.123520475911129,1.123520475911129,0.5285429977380254,0.0,0.0,0.2803570872938998
Delta_4000,End-of-Life Emission Reduction,techUseNet 2050 TRB01_01,0.5171451536280318,0.5171451536280318,0.4048105351153275,0.0,0.0,0.040621479087620795
Delta_4000,CO2 Cap,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Buildings demand,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Steel Production,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Chemical Production,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Passenger Cars,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Bunker aviation,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Bunker navigation,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Agriculture neGHG CH4,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Agriculture neGHG N2O,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Wind offshore Costs,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Wind offshore Potential,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Solar PV Costs,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Solar PV Potential,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Nuclear Costs,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Nuclear Potential,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Hydrogen Import Potential,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Hydrogen Import Price,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Biomass Import Potential,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Biomass Import Price,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Ammonia Import Potential,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Ammonia Import Price,techUseNet 2050 neE02_04,,,,,,
Delta_4000,CCS potential,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Flexibility Costs,techUseNet 2050 neE02_04,,,,,,
Delta_4000,LNG Import Price,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Electricity Trade Price,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Weather Conditions,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Electricity Trade Ratio,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Electricity Trade Volume,techUseNet 2050 neE02_04,,,,,,
Delta_4000,WACC,techUseNet 2050 neE02_04,,,,,,
Delta_4000,Bunker Emission Reduction,techUseNet 2050 neE02_04,,,,,,
Delta_4000,End-of-Life Emission Reduction,techUseNet 2050 neE02_04,,,,,,
Delta_4000,CO2 Cap,techUseNet 2050 neE02_05,,,,,,
Delta_4000,Buildings demand,techUseNet 2050 neE02_05,,,,,,
Delta_4000,Steel Production,techUseNet 2050 neE02_05,,,,,,
Delta_4000,Chemical Production,techUseNet 2050 neE02_05,,,,,,
Delta_4000,Passenger Cars,techUseNet 2050 neE02_05,,,,,,
Delta_4000,Bunker aviation,techUseNet 2050 neE02_05,,,,,,
Delta_4000,Bunker navigation,techUseNet 2050 neE02_05,,,,,,
Delta_4000,Agriculture neGHG CH4,techUseNet 2050 neE02_05,,,,,,
Delta_4000,Agriculture neGHG N2O,techUseNet 2050 neE02_05,,,,,,
Delta_4000,Wind offshore Costs,techUseNet 2050 neE02_05,,,,,,
Delta_4000,Wind offshore Potential,techUseNet 2050 neE02_05,,,,,,
Delta_4000,Solar PV Costs,techUseNet 2050 neE02_05,,,,,,
Delta_4000,Solar PV Potential,techUseNet 2050 neE02_05,,,,,,
Delta_4000,Nuclear Costs,techUseNet 2050 neE02_05,,,,,,
Delta_4000,Nuclear Potential,techUseNet 2050 neE02_05,,,,,,
