Parameter,Outcome,delta_raw_2800,delta_2800,delta_conf_2800,S1_2800,S1_conf_2800,delta_2800_norm
Biomass Import Price,Methanol Production 2050,0.13558382690897036,0.13558382690897036,0.010747383194927834,0.0,0.0,0.6505052723598305
Ammonia Import Potential,Methanol Production 2050,0.09043017443629182,0.09043017443629182,0.00515664149723218,0.0,0.0,0.061361991472895255
Ammonia Import Price,Methanol Production 2050,0.10649502996048779,0.10649502996048779,0.006721750415743177,0.0,0.0,0.27096854979563945
CCS potential,Methanol Production 2050,0.09732028366871677,0.09732028366871677,0.00638056804455809,0.0,0.0,0.15126084431356773
Flexibility Costs,Methanol Production 2050,0.10314027001757096,0.10314027001757096,0.005671192206128522,0.0,0.0,0.22719724512534767
LNG Price,Methanol Production 2050,0.10364139408470859,0.10364139408470859,0.005716486360808709,0.0,0.0,0.23373567249229216
Electricity Trade Price,Methanol Production 2050,0.10069775797253466,0.10069775797253466,0.005746361885575755,0.0,0.0,0.1953285151108877
Weather Conditions,Methanol Production 2050,0.102846547124274,0.102846547124274,0.006012979111847023,0.0,0.0,0.2233648891684673
Electricity Trade Ratio,Methanol Production 2050,0.09849473006553748,0.09849473006553748,0.006210706540898277,0.0,0.0,0.16658445969257737
Electricity Trade Volume,Methanol Production 2050,0.09746949067975182,0.09746949067975182,0.005671718587211832,0.0,0.0,0.1532076260953009
WACC,Methanol Production 2050,0.10660281944783616,0.10660281944783616,0.0065312224884081305,0.0,0.0,0.2723749355195842
Bunker Emission Reduction,Methanol Production 2050,0.15798723079445534,0.15798723079445534,0.011250517365324541,0.0,0.0,0.9428141808388519
End-of-Life Emission Reduction,Methanol Production 2050,0.10329584499816946,0.10329584499816946,0.006170008470671405,0.0,0.0,0.22922711313102404
CO2 Cap,Shedding Flexibility Capacity 2050,0.09613671831177108,0.09613671831177108,0.00734088293827844,0.0,0.0,0.2899061876655199
Buildings demand,Shedding Flexibility Capacity 2050,0.08549511512235189,0.08549511512235189,0.007080368571109544,0.0,0.0,0.19041850840923946
Steel Production,Shedding Flexibility Capacity 2050,0.07052483193997651,0.07052483193997651,0.0066157780227409195,0.0,0.0,0.05046227201201111
Chemical Production,Shedding Flexibility Capacity 2050,0.09292176957048022,0.09292176957048022,0.008138731320034778,0.0,0.0,0.2598498339840607
Passenger Cars,Shedding Flexibility Capacity 2050,0.09363701170073718,0.09363701170073718,0.006123467657968112,0.0,0.0,0.26653658769766797
Bunker aviation,Shedding Flexibility Capacity 2050,0.06512718392162195,0.06512718392162195,0.006874513910285186,0.0,0.0,0.0
Bunker navigation,Shedding Flexibility Capacity 2050,0.0822419171303361,0.0822419171303361,0.007897835893525553,0.0,0.0,0.16000456488721013
Agriculture neGHG CH4,Shedding Flexibility Capacity 2050,0.0867523968073593,0.0867523968073593,0.006528725936539978,0.0,0.0,0.2021727558460526
Agriculture neGHG N2O,Shedding Flexibility Capacity 2050,0.0819903751448317,0.0819903751448317,0.0068007014450475285,0.0,0.0,0.15765291467737788
Wind offshore Costs,Shedding Flexibility Capacity 2050,0.0939142340878543,0.0939142340878543,0.007312582232373591,0.0,0.0,0.2691283223678341
Wind offshore Potential,Shedding Flexibility Capacity 2050,0.08243628253623533,0.08243628253623533,0.008042970770309372,0.0,0.0,0.16182167484859697
