kpi,parameter,delta,ci_lo,ci_hi
elec_price_lv,WACC,0.05355834792132059,0.06724574296533142,0.07848985496271309
elec_price_lv,Bunker Emission Reduction,0.05122960075696439,0.06843837158130105,0.07752098180276412
elec_price_lv,End-of-Life Emission Reduction,0.07222936572151736,0.0834387809696988,0.09414463032091014
elec_price_hv_std,CO2 Cap,0.036078615516640204,0.04821603000840984,0.05635781645499052
elec_price_hv_std,Buildings demand,0.04648141881483259,0.05448767124921651,0.0626027962458458
elec_price_hv_std,Steel Production,0.03564941782732368,0.04769457050121974,0.05696136425992978
elec_price_hv_std,Chemical Production,0.03683619035689584,0.04747006523298822,0.05717115585314328
elec_price_hv_std,Passenger Cars,0.04009429958612687,0.04732638979141262,0.05849898023521674
elec_price_hv_std,Bunker aviation,0.03609310082158843,0.044282875781044305,0.05632803238306868
elec_price_hv_std,Bunker navigation,0.042405256175604436,0.05173409836519363,0.061887795586422566
elec_price_hv_std,Agriculture neGHG CH4,0.035759520238305045,0.04859772858820081,0.05577786114438939
elec_price_hv_std,Agriculture neGHG N2O,0.03697236378573509,0.047920889601985796,0.0565514685454861
elec_price_hv_std,Wind offshore Costs,0.036920974662499995,0.048662775478668305,0.05843535426615092
elec_price_hv_std,Wind offshore Potential,0.04017073211294911,0.04919587139265017,0.060501928423562314
elec_price_hv_std,Solar PV Costs,0.03827994459725195,0.05028970086476718,0.057927316150844746
elec_price_hv_std,Solar PV Potential,0.03604262255250134,0.04661857005116043,0.05679307204875329
elec_price_hv_std,Nuclear Costs,0.03889597322084238,0.04986672671365563,0.05905767041758546
elec_price_hv_std,Nuclear Potential,0.03567507050568743,0.04713556016432101,0.057545930087534614
elec_price_hv_std,Hydrogen Import Potential,0.0418177944825176,0.05088464804105361,0.06171254417974635
elec_price_hv_std,Hydrogen Import Price,0.03808623251758011,0.04918622688047918,0.058799495259368666
elec_price_hv_std,Biomass Import Potential,0.048323889202112204,0.054292087839049784,0.06556736684001103
elec_price_hv_std,Biomass Import Price,0.053214110325338924,0.05824627128620059,0.07005642615334343
elec_price_hv_std,Ammonia Import Potential,0.05311316739846969,0.059542887906107865,0.06940020515789533
elec_price_hv_std,Ammonia Import Price,0.05238009597916545,0.058794036271120204,0.06817033711398793
elec_price_hv_std,CCS potential,0.05907410997589648,0.06348111452183591,0.0739354061937548
elec_price_hv_std,Flexibility Costs,0.10487742507244775,0.1084112135559081,0.11948348985460965
elec_price_hv_std,LNG Price,0.03398214051531099,0.04637114517446787,0.054126237461725214
elec_price_hv_std,Electricity Trade Price,0.062321431854425825,0.06920304469399992,0.07727508013605243
elec_price_hv_std,Weather Conditions,0.10326440113269697,0.10379484329781904,0.11686400054866769
elec_price_hv_std,Electricity Trade Ratio,0.30250474089669366,0.29910227098186143,0.311509207116332
elec_price_hv_std,Electricity Trade Volume,0.1792314503832705,0.1769148559873376,0.18773682943144732
elec_price_hv_std,WACC,0.08326515199438381,0.08687656627735704,0.09676472749571641
elec_price_hv_std,Bunker Emission Reduction,0.042758361833455036,0.05009395137840575,0.06059761429305304
elec_price_hv_std,End-of-Life Emission Reduction,0.04570856864059452,0.05385045772579231,0.06333379558052973
feedstock_co2_price,CO2 Cap,0.0435961297949891,0.05732814979958599,0.06603569001459683
feedstock_co2_price,Buildings demand,0.04593325863476195,0.05635664000451551,0.06708599980060365
feedstock_co2_price,Steel Production,0.040831457128864074,0.055763981508853346,0.06418616751531082
feedstock_co2_price,Chemical Production,0.11584095102987206,0.11826009709460951,0.13021577860350245
feedstock_co2_price,Passenger Cars,0.047276151029807215,0.05789735999239061,0.0682535453348889
feedstock_co2_price,Bunker aviation,0.049764152264347904,0.06177006601472186,0.07002099208970297
feedstock_co2_price,Bunker navigation,0.04722062506498634,0.05836159223203958,0.06739264311251406
feedstock_co2_price,Agriculture neGHG CH4,0.042723668964146436,0.05672417912263817,0.06504437242660849
feedstock_co2_price,Agriculture neGHG N2O,0.04084032303295548,0.05570229383707141,0.06375296046133432
feedstock_co2_price,Wind offshore Costs,0.05292617543308025,0.06271093320399995,0.07307713034218312
feedstock_co2_price,Wind offshore Potential,0.04239774561453982,0.05630742241805658,0.06635418650238631
feedstock_co2_price,Solar PV Costs,0.03955932677955143,0.055385971543797756,0.06480563584110424
feedstock_co2_price,Solar PV Potential,0.04165001645646754,0.05515969792520353,0.06558761872088743
feedstock_co2_price,Nuclear Costs,0.04516803716569671,0.0584442503019044,0.06704340842148805
feedstock_co2_price,Nuclear Potential,0.03892513401279892,0.054172337075546556,0.06418675583723155
feedstock_co2_price,Hydrogen Import Potential,0.04526964845135972,0.058485008732686423,0.06839711401786863
feedstock_co2_price,Hydrogen Import Price,0.048407331704305966,0.05974885541741646,0.06984758508137216
feedstock_co2_price,Biomass Import Potential,0.05263480243856903,0.06302109753105875,0.07277881718999174
feedstock_co2_price,Biomass Import Price,0.06971400917982276,0.07924267204850481,0.08607797000891594
feedstock_co2_price,Ammonia Import Potential,0.055438876488396044,0.06508236115827779,0.07630735935322379
feedstock_co2_price,Ammonia Import Price,0.05546211379668468,0.06606291421872948,0.07579774533699773
feedstock_co2_price,CCS potential,0.0586873832667214,0.0670141729424546,0.07772603594101934
feedstock_co2_price,Flexibility Costs,0.04770466087922213,0.05687601394555578,0.06645033949512724
feedstock_co2_price,LNG Price,0.04024090892909242,0.055164010386840004,0.06446122721982712
feedstock_co2_price,Electricity Trade Price,0.04606270205745544,0.05751496249365815,0.06672314210642405
feedstock_co2_price,Weather Conditions,0.04754876218350699,0.05960209648922325,0.06814234446391008
feedstock_co2_price,Electricity Trade Ratio,0.047352110969971495,0.0597613235745518,0.06991651533319512
feedstock_co2_price,Electricity Trade Volume,0.04811204416456492,0.05953999215994871,0.06921736757878463
feedstock_co2_price,WACC,0.05292670869880288,0.06367195298244006,0.0715417534888542
feedstock_co2_price,Bunker Emission Reduction,0.04768693556832331,0.05989219037565685,0.06923907604734349
feedstock_co2_price,End-of-Life Emission Reduction,0.4555252328597837,0.45056656960992836,0.4599657072668454
import_dependency,CO2 Cap,0.04266567142023252,0.05451982302088975,0.06396768709896132
import_dependency,Buildings demand,0.05556938427128142,0.06321757459277755,0.07610868587436817
import_dependency,Steel Production,0.04291216118899155,0.05442998901328758,0.06455870102808339
import_dependency,Chemical Production,0.04767862819842077,0.058253315506495554,0.06741227335901971
import_dependency,Passenger Cars,0.04089021100524178,0.053860092119194465,0.06244287245544356
import_dependency,Bunker aviation,0.04099540273090353,0.05363153156486769,0.06248282745693744
import_dependency,Bunker navigation,0.044647866221106725,0.055998372117025026,0.06543270747966445
import_dependency,Agriculture neGHG CH4,0.041646816441050304,0.05522172208070552,0.06561668400074763
import_dependency,Agriculture neGHG N2O,0.04075536099841102,0.05476196803815975,0.06375418808332822
import_dependency,Wind offshore Costs,0.07189633024399637,0.0759034545743524,0.08825365508934259
import_dependency,Wind offshore Potential,0.05512085133007093,0.06450151303602408,0.07388414898593469
import_dependency,Solar PV Costs,0.0451356625257943,0.05712220619752512,0.06747993973362616
import_dependency,Solar PV Potential,0.042758181280113154,0.056823679667685346,0.06423513565011699
import_dependency,Nuclear Costs,0.11686336839803572,0.11768480501735167,0.1295896152047784
import_dependency,Nuclear Potential,0.04892819271106202,0.05963101497807951,0.06906282462266775
import_dependency,Hydrogen Import Potential,0.037447803726218816,0.05222724400395732,0.06136801155543298
import_dependency,Hydrogen Import Price,0.05164472582297512,0.06055518713885605,0.07164977824381118
import_dependency,Biomass Import Potential,0.06689080336315108,0.0745209712633283,0.08569362204574163
import_dependency,Biomass Import Price,0.0993974501198337,0.10107300228158224,0.11277989784779262
import_dependency,Ammonia Import Potential,0.053923470335366104,0.06236390622982396,0.07086960222194119
import_dependency,Ammonia Import Price,0.04898122300771084,0.059793509485993455,0.07030078949559909
import_dependency,CCS potential,0.08228586173456799,0.08758747108441467,0.10035508587080225
import_dependency,Flexibility Costs,0.04355668383889652,0.05450051692434587,0.06428090754804852
import_dependency,LNG Price,0.03675000103379051,0.05060466969185541,0.06047571112481293
import_dependency,Electricity Trade Price,0.045126293377078706,0.05494922641459245,0.0669348869167754
import_dependency,Weather Conditions,0.10136885984540059,0.10217326484093348,0.1130248336199818
import_dependency,Electricity Trade Ratio,0.16631625153768348,0.16357983509175522,0.17793433263578773
import_dependency,Electricity Trade Volume,0.17843592893265692,0.17483006076760102,0.18874170682584512
import_dependency,WACC,0.058787420220068526,0.06700696146024712,0.07664153528771656
import_dependency,Bunker Emission Reduction,0.04188570843250939,0.055386846341302386,0.06193196832511711
import_dependency,End-of-Life Emission Reduction,0.043404008663674734,0.055429849349531074,0.0663885446106523
self_sufficiency,CO2 Cap,0.04266567142023252,0.05338027062646018,0.06206765115683554
self_sufficiency,Buildings demand,0.05556938427128144,0.06335343599941172,0.07504724742163844
self_sufficiency,Steel Production,0.04291216118899157,0.05302090977979697,0.06421451026343823
self_sufficiency,Chemical Production,0.04767862819842079,0.05660174174602401,0.06942599078629395
self_sufficiency,Passenger Cars,0.04089021100524178,0.05392359044602602,0.06302167844664766
self_sufficiency,Bunker aviation,0.04099540273090352,0.05308231104697472,0.06391183967313481
self_sufficiency,Bunker navigation,0.04464786622110674,0.05459598929627023,0.0650998018035449
