kpi,parameter,delta,delta_unclipped,raw,noise_floor,floor_sd,classes,significant
flex_be_use,Nuclear Potential,0.0,-0.004708641374538504,0.03168467459694587,0.036393315971484375,0.002282200160298888,13,False
flex_be_use,Hydrogen Import Potential,0.01483682759534801,0.01483682759534801,0.051230143566832385,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Hydrogen Import Price,0.024604999991841833,0.024604999991841833,0.06099831596332621,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Biomass Import Potential,0.029168150599336196,0.029168150599336196,0.06556146657082057,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Biomass Import Price,0.06165441680064425,0.06165441680064425,0.09804773277212862,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Ammonia Import Potential,0.06197062575617497,0.06197062575617497,0.09836394172765935,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Ammonia Import Price,0.05228277186795127,0.05228277186795127,0.08867608783943565,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,CCS potential,0.0707900884677768,0.0707900884677768,0.10718340443926118,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Flexibility Costs,0.00042097650878770293,0.00042097650878770293,0.03681429248027208,0.036393315971484375,0.002282200160298888,13,False
flex_be_use,LNG Price,0.004971807506917697,0.004971807506917697,0.04136512347840207,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Electricity Trade Price,0.0,-0.000787313522051504,0.03560600244943287,0.036393315971484375,0.002282200160298888,13,False
flex_be_use,Weather Conditions,0.10359192894609245,0.10359192894609245,0.13998524491757683,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Electricity Trade Ratio,0.1095971455250642,0.1095971455250642,0.14599046149654857,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Electricity Trade Volume,0.008011500595849208,0.008011500595849208,0.04440481656733358,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,WACC,0.08250511655414593,0.08250511655414593,0.1188984325256303,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Bunker Emission Reduction,0.00905297838331235,0.00905297838331235,0.045446294354796725,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,End-of-Life Emission Reduction,0.013728484659859493,0.013728484659859493,0.05012180063134387,0.036393315971484375,0.002282200160298888,13,True
flex_capacity_installed,CO2 Cap,0.022112382729221704,0.022112382729221704,0.05922278121906697,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Buildings demand,0.14595921793227787,0.14595921793227787,0.18306961642212313,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Steel Production,0.00018284126109447546,0.00018284126109447546,0.03729323975093974,0.037110398489845264,0.002296220133144745,13,False
flex_capacity_installed,Chemical Production,0.010746492834094665,0.010746492834094665,0.04785689132393993,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Passenger Cars,0.021627911456532693,0.021627911456532693,0.05873830994637796,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Bunker aviation,0.004848984612909599,0.004848984612909599,0.04195938310275486,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Bunker navigation,0.025293020957308433,0.025293020957308433,0.0624034194471537,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Agriculture neGHG CH4,0.0022495105724893924,0.0022495105724893924,0.03935990906233466,0.037110398489845264,0.002296220133144745,13,False
flex_capacity_installed,Agriculture neGHG N2O,0.0,-0.0012501609635391098,0.035860237526306155,0.037110398489845264,0.002296220133144745,13,False
flex_capacity_installed,Wind offshore Costs,0.009640731734618796,0.009640731734618796,0.04675113022446406,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Wind offshore Potential,0.0035911018564694433,0.0035911018564694433,0.04070150034631471,0.037110398489845264,0.002296220133144745,13,False
flex_capacity_installed,Solar PV Costs,0.000952279159534046,0.000952279159534046,0.03806267764937931,0.037110398489845264,0.002296220133144745,13,False
flex_capacity_installed,Solar PV Potential,0.0,-0.004861549875398337,0.03224884861444693,0.037110398489845264,0.002296220133144745,13,False
flex_capacity_installed,Nuclear Costs,0.0022377621493434377,0.0022377621493434377,0.0393481606391887,0.037110398489845264,0.002296220133144745,13,False
flex_capacity_installed,Nuclear Potential,0.0,-0.005589193859794311,0.03152120463005095,0.037110398489845264,0.002296220133144745,13,False
flex_capacity_installed,Hydrogen Import Potential,0.01505546929492603,0.01505546929492603,0.052165867784771294,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Hydrogen Import Price,0.02463382756475154,0.02463382756475154,0.061744226054596806,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Biomass Import Potential,0.028002016411662972,0.028002016411662972,0.06511241490150824,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Biomass Import Price,0.06170583175208165,0.06170583175208165,0.09881623024192691,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Ammonia Import Potential,0.06206677748217966,0.06206677748217966,0.09917717597202493,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Ammonia Import Price,0.05259639303512735,0.05259639303512735,0.08970679152497261,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,CCS potential,0.06919009881261737,0.06919009881261737,0.10630049730246263,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Flexibility Costs,0.00042646916338334034,0.00042646916338334034,0.037536867653228605,0.037110398489845264,0.002296220133144745,13,False
flex_capacity_installed,LNG Price,0.0059482623974861995,0.0059482623974861995,0.043058660887331464,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Electricity Trade Price,0.000726657705044105,0.000726657705044105,0.03783705619488937,0.037110398489845264,0.002296220133144745,13,False
flex_capacity_installed,Weather Conditions,0.10433500368972393,0.10433500368972393,0.1414454021795692,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Electricity Trade Ratio,0.11000593045360821,0.11000593045360821,0.14711632894345347,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Electricity Trade Volume,0.009446168615743267,0.009446168615743267,0.04655656710558853,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,WACC,0.08138602888970978,0.08138602888970978,0.11849642737955504,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,Bunker Emission Reduction,0.00829819077553378,0.00829819077553378,0.045408589265379044,0.037110398489845264,0.002296220133144745,13,True
flex_capacity_installed,End-of-Life Emission Reduction,0.01443625235161728,0.01443625235161728,0.051546650841462545,0.037110398489845264,0.002296220133144745,13,True
flex_dr_use,CO2 Cap,0.00013413203914462777,0.00013413203914462777,0.001800918324653162,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Buildings demand,0.0,-5.546456664378796e-05,0.0016113217188647464,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Steel Production,0.0,-0.0002546618522873657,0.0014121244332211686,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Chemical Production,0.0,-0.00016213768169577548,0.0015046486038127588,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Passenger Cars,0.0,-6.351736773319168e-05,0.0016032689177753426,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Bunker aviation,3.6395131301055796e-05,3.6395131301055796e-05,0.00170318141680959,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Bunker navigation,0.00023580116070694808,0.00023580116070694808,0.0019025874462154824,0.0016667862855085343,0.00011359798106001972,13,True
flex_dr_use,Agriculture neGHG CH4,0.00013499855672133494,0.00013499855672133494,0.0018017848422298692,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Agriculture neGHG N2O,0.0002347948278204402,0.0002347948278204402,0.0019015811133289745,0.0016667862855085343,0.00011359798106001972,13,True
flex_dr_use,Wind offshore Costs,0.00023475455378281084,0.00023475455378281084,0.0019015408392913451,0.0016667862855085343,0.00011359798106001972,13,True
flex_dr_use,Wind offshore Potential,0.0001353206628647561,0.0001353206628647561,0.0018021069483732904,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Solar PV Costs,3.5814336497019166e-05,3.5814336497019166e-05,0.0017026006220055535,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Solar PV Potential,3.641572279809279e-05,3.641572279809279e-05,0.001703202008306627,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Nuclear Costs,0.0,-6.273668520010746e-05,0.0016040496003084269,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Nuclear Potential,0.00013513666127445956,0.00013513666127445956,0.0018019229467829939,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Hydrogen Import Potential,3.637490762586817e-05,3.637490762586817e-05,0.0017031611931344025,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Hydrogen Import Price,0.0,-5.86542524183423e-05,0.001608132033090192,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Biomass Import Potential,0.00023522661302235732,0.00023522661302235732,0.0019020128985308916,0.0016667862855085343,0.00011359798106001972,13,True
flex_dr_use,Biomass Import Price,4.083552092598846e-05,4.083552092598846e-05,0.0017076218064345228,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Ammonia Import Potential,0.0003348242448556289,0.0003348242448556289,0.002001610530364163,0.0016667862855085343,0.00011359798106001972,13,True
flex_dr_use,Ammonia Import Price,0.00013653137771754177,0.00013653137771754177,0.001803317663226076,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,CCS potential,0.0003344819927298833,0.0003344819927298833,0.0020012682782384176,0.0016667862855085343,0.00011359798106001972,13,True
flex_dr_use,Flexibility Costs,0.0,-0.000258597252666463,0.0014081890328420713,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,LNG Price,0.00014045343095906424,0.00014045343095906424,0.0018072397164675986,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Electricity Trade Price,0.0,-5.9288163635621985e-05,0.0016074981218729123,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Weather Conditions,3.484145910008941e-05,3.484145910008941e-05,0.0017016277446086237,0.0016667862855085343,0.00011359798106001972,13,False
flex_dr_use,Electricity Trade Ratio,0.00023465236631417747,0.00023465236631417747,0.0019014386518227118,0.0016667862855085343,0.00011359798106001972,13,True
flex_dr_use,Electricity Trade Volume,4.2725859906444846e-05,4.2725859906444846e-05,0.0017095121454149792,0.0016667862855085343,0.00011359798106001972,13,False
