kpi,parameter,mu_star,sigma,n_eff
self_sufficiency,Nuclear Potential,0.030934234163668566,0.049425378244143434,84
self_sufficiency,Hydrogen Import Potential,0.025051331486389595,0.04822788877550314,86
self_sufficiency,Hydrogen Import Price,0.02824099039753154,0.04771340578540248,111
self_sufficiency,Biomass Import Potential,0.040440769449709354,0.05645959507864354,103
self_sufficiency,Biomass Import Price,0.06825471126642917,0.09564755632199592,95
self_sufficiency,Ammonia Import Potential,0.04973831889066125,0.07697494045352228,94
self_sufficiency,Ammonia Import Price,0.04505589671375944,0.07836031019744127,90
self_sufficiency,CCS potential,0.07738171076492874,0.08289810163459933,83
self_sufficiency,Flexibility Costs,0.003026876095129391,0.00896192788381631,81
self_sufficiency,LNG Price,0.006141534082523131,0.01325616378858609,125
self_sufficiency,Electricity Trade Price,0.025634549523162655,0.05375120994208854,123
self_sufficiency,Weather Conditions,0.13634869021067006,0.17505117009895826,116
self_sufficiency,Electricity Trade Ratio,0.07636690945131233,0.1073357571152102,87
self_sufficiency,Electricity Trade Volume,0.11282051820367678,0.10836113249946254,95
self_sufficiency,WACC,0.05167963762347448,0.052036549023710535,103
self_sufficiency,Bunker Emission Reduction,0.032087192788088255,0.03970970567309642,83
self_sufficiency,End-of-Life Emission Reduction,0.04930441224602793,0.08484478668629246,89
gas_import_share,CO2 Cap,0.060740318420567145,0.025393191826726735,103
gas_import_share,Buildings demand,0.020346146718021152,0.013495543294744393,79
gas_import_share,Steel Production,0.007469918898334996,0.007604980196611081,86
gas_import_share,Chemical Production,0.02785770000367202,0.03325701365773789,97
gas_import_share,Passenger Cars,0.001892152820727424,0.0020047174959322367,94
gas_import_share,Bunker aviation,0.009878286528767363,0.010990900091496615,98
gas_import_share,Bunker navigation,0.015799291552521556,0.01632548674915639,102
gas_import_share,Agriculture neGHG CH4,0.02788565761671144,0.012497081444436715,101
gas_import_share,Agriculture neGHG N2O,0.013514083025206196,0.00756502921594226,105
gas_import_share,Wind offshore Costs,0.009552340528396793,0.018069297519235347,104
gas_import_share,Wind offshore Potential,0.004344814950614032,0.011811827831751743,85
gas_import_share,Solar PV Costs,0.0024960480779317403,0.005508170043703196,97
gas_import_share,Solar PV Potential,0.0015721134613622878,0.00396414319379291,88
gas_import_share,Nuclear Costs,0.01915758892832775,0.030999491347833037,84
gas_import_share,Nuclear Potential,0.0078268113294002,0.015053009475075041,84
gas_import_share,Hydrogen Import Potential,0.008172898833159364,0.01954843830008712,86
gas_import_share,Hydrogen Import Price,0.013354158700048718,0.0277290310962793,111
gas_import_share,Biomass Import Potential,0.019914795668062354,0.033747360712482265,103
gas_import_share,Biomass Import Price,0.023725905138706198,0.04492285766146568,95
gas_import_share,Ammonia Import Potential,0.01586702999075088,0.02846065295090187,94
gas_import_share,Ammonia Import Price,0.015342099812698648,0.04132763915595197,90
gas_import_share,CCS potential,0.1753595575172121,0.038403978220221076,83
gas_import_share,Flexibility Costs,0.0017241360530493666,0.004453029205365426,81
gas_import_share,LNG Price,0.01716313444799007,0.036497924479485,125
gas_import_share,Electricity Trade Price,0.008157104623536058,0.014709047837110354,123
gas_import_share,Weather Conditions,0.027650774228805866,0.03969152651963068,116
gas_import_share,Electricity Trade Ratio,0.02395747832540524,0.03239417488787376,87
gas_import_share,Electricity Trade Volume,0.023959979803473225,0.03254995666366642,95
gas_import_share,WACC,0.02077978558402973,0.030559431794792032,103
gas_import_share,Bunker Emission Reduction,0.033058621641171196,0.0323223962566872,83
gas_import_share,End-of-Life Emission Reduction,0.06099668579024362,0.07170634277394866,89
import_concentration_hhi,CO2 Cap,0.058013750195061276,0.04005012013039333,103
import_concentration_hhi,Buildings demand,0.03031505620147205,0.06172495057104698,79
import_concentration_hhi,Steel Production,0.011991747723823602,0.015057713141723132,86
import_concentration_hhi,Chemical Production,0.03607913307167208,0.06731016423200584,97
