Parameter,Outcome,Final_Delta,Max_Delta,Converged_At_Size,Max_Relative_Change,Sample_Sizes_Analyzed,Delta_Trajectory
Agriculture neGHG CH4,comPrices 2050 Bio Kerosene,0.055307175520618854,0.18257155511871692,,1.5208927176918323,10,"[0.08532981765372152, 0.08707974950743307, 0.02179942937776391, 0.05495402276824243, 0.06354862315594546, 0.0914030599280189, 0.18257155511871692, 0.10695325780920693, 0.07454447760163467, 0.055307175520618854]"
Steel Production,Electricity capacity_Carrier_sum 2050 Wind offshore,0.055297228150501025,0.09192633344226836,,0.4135635230772761,10,"[0.06503162535076464, 0.09192633344226836, 0.07325591899213216, 0.06407172098796582, 0.07292531971955342, 0.08362434983314887, 0.05976314410876234, 0.08299100124014429, 0.07990288436835151, 0.055297228150501025]"
Bunker Emission Reduction,Electricity capacity_Carrier_sum 2050 Solar PV,0.05528579754157956,0.09530263946814456,4000.0,0.6164123696282917,10,"[0.09530263946814456, 0.04546889980365876, 0.07349649207602342, 0.05704869706930131, 0.05494888509876066, 0.08421259852785055, 0.06395788471270014, 0.06908576033229685, 0.060265108227493015, 0.05528579754157956]"
Electricity Trade Ratio,CO2 Storage 2050,0.05526749224655832,0.07027509399822257,,0.6749631957206123,10,"[0.06680213553796675, 0.045042982602400625, 0.04368205451413882, 0.031489130583894506, 0.05274313479326361, 0.045113469547911504, 0.07027509399822257, 0.05019141469533776, 0.04266274151621451, 0.05526749224655832]"
Weather Conditions,CO2 Price 2050,0.05525538792154423,0.2640215026713395,,3.957391326640139,10,"[0.06411403313748348, 0.05325815237795228, 0.2640215026713395, 0.055060182317362864, 0.10111483102680827, 0.12362746787739524, 0.13936070723784, 0.12493977732421213, 0.12716832382078935, 0.05525538792154423]"
Bunker aviation,techStocks 2050 EPB01_02,0.05519767836684025,0.09099251241443522,2400.0,0.5151956320495198,10,"[0.09099251241443522, 0.0837198163517092, 0.04058773265132066, 0.037067746770027284, 0.05364461915874208, 0.0525433421437099, 0.05770976961328492, 0.05954685162785647, 0.056217604265941225, 0.05519767836684025]"
Hydrogen Import Potential,BioFuel Production 2050,0.05505310052660014,0.10209944221102185,3600.0,0.4681633246651094,10,"[0.10209944221102185, 0.054300227899056655, 0.07152412557094129, 0.09998958868073228, 0.057120293207793445, 0.06598104048099723, 0.08046967416235634, 0.05708432802072938, 0.05831562409488413, 0.05505310052660014]"
Hydrogen Import Potential,Biomass Imports 2050,0.05500911756247076,0.09996828809985331,,0.3248538903217397,10,"[0.07831984457783911, 0.09996828809985331, 0.07928545412538739, 0.053529265906829465, 0.05058064212447116, 0.06388524764269224, 0.056670031539300086, 0.05577659566331901, 0.06347122102707875, 0.05500911756247076]"
Flexibility Costs,techStocks 2050 Hyd03_01,0.054917883914279646,0.08027619061166477,,0.41839171767735217,10,"[0.07716719748316947, 0.08027619061166477, 0.04668929733305582, 0.05157345610257652, 0.07247100117292189, 0.06450570612944559, 0.057269576099240924, 0.07450965527570272, 0.06734112575861623, 0.054917883914279646]"
Bunker aviation,Storage Flexibility Capacity 2050,0.05490840659081824,0.09315804207726903,,0.40699443590383855,10,"[0.09062590004294961, 0.09241449113136958, 0.07027238618812041, 0.08677325335783798, 0.07032798074234474, 0.09315804207726903, 0.07354692497992503, 0.07719542919433282, 0.09259340875579765, 0.05490840659081824]"
Bunker navigation,Electricity capacity_Carrier_sum 2050 Solar PV,0.0548940672360322,0.08842212597842664,,0.24264946168590704,10,"[0.08076248213535471, 0.0717548371378504, 0.06851999497586274, 0.08347874456085425, 0.07486545221480954, 0.08842212597842664, 0.06696654470863796, 0.08046735095069366, 0.06864641742457653, 0.0548940672360322]"
Solar PV Costs,BioFuel Production 2050,0.05469855878289292,0.0965182215494129,4000.0,3.076190685060155,10,"[0.09336089186177465, 0.08748720611482977, 0.02367853444716572, 0.0965182215494129, 0.061736369147968456, 0.05987087220332506, 0.06693258410282087, 0.07073212575860183, 0.05391030430119988, 0.05469855878289292]"
Ammonia Import Potential,techStocks 2050 Hyd03_01,0.054648663938894615,0.08845949036936783,,0.7222961742501139,10,"[0.08845949036936783, 0.02456553889945864, 0.041490637571628214, 0.07024600472908332, 0.03998546686173343, 0.06247931244270649, 0.06123432407735353, 0.05289634363006226, 0.06811927952733515, 0.054648663938894615]"
Solar PV Costs,totalCosts,0.054452685417920685,0.12111495293194861,,0.8699443202251927,10,"[0.12111495293194861, 0.039464628558822955, 0.07379665802336792, 0.05001630363271132, 0.053432591175130655, 0.08672603729554597, 0.06674531055580174, 0.04833866584465451, 0.0767579227604151, 0.054452685417920685]"
Agriculture neGHG CH4,DR Flexibility Capacity 2050,0.05440381666764733,0.10037489882194532,4000.0,0.502157336806229,10,"[0.10037489882194532, 0.04997090694732256, 0.04723524225050652, 0.03776055466160169, 0.046709835092771025, 0.06641873905846515, 0.05813554978140847, 0.07414975284424907, 0.054482703222513036, 0.05440381666764733]"
Wind offshore Potential,BioFuel Production 2050,0.05424422873546236,0.09874127214389386,,0.35221289012475215,10,"[0.09874127214389386, 0.06396332330749832, 0.05652354376428301, 0.07298288422082633, 0.07673863634324413, 0.06019389695222915, 0.0690653219116004, 0.06458772740070746, 0.07471664633307762, 0.05424422873546236]"
Hydrogen Import Price,CO2 Storage 2050,0.05417729887269905,0.07239255022822784,4000.0,0.9521159946991319,10,"[0.03708414378285204, 0.07239255022822784, 0.03831625369275518, 0.06035649270909491, 0.053960262795735264, 0.04873093057702592, 0.05482687883724127, 0.06559237964624347, 0.055206336748970894, 0.05417729887269905]"
End-of-Life Emission Reduction,Electricity capacity_Carrier_sum 2050 Solar PV,0.05414627191776667,0.07952483197616365,4000.0,0.9770158921536778,10,"[0.03643041924134978, 0.07202351779796964, 0.05339865720703406, 0.05059049110392521, 0.07315452727566345, 0.07952483197616365, 0.06901197611167252, 0.07209355684277088, 0.057747177742823695, 0.05414627191776667]"
Weather Conditions,comPrices 2050 Ammonia,0.05413585717190817,0.4545914070252551,,4.818783788348568,10,"[0.09720229924781186, 0.07812481500610508, 0.4545914070252551, 0.0773735982546233, 0.10666354227903206, 0.14184218060603013, 0.027220897844555152, 0.1267687368739972, 0.13127389996157676, 0.05413585717190817]"
Nuclear Costs,Daily Flexibility Capacity 2050,0.05402949152451366,0.10722478785145244,,0.6479209420662381,10,"[0.10722478785145244, 0.06551682169854636, 0.09836390715995141, 0.06920357149187888, 0.09520923621733723, 0.05278830611785639, 0.08699095514781886, 0.06694102715778268, 0.07423395108483463, 0.05402949152451366]"
